Date,Open,High,Low,Close,Adj Close,Volume
2018-04-10,49.805000,49.805000,49.805000,49.805000,49.805000,17870
2018-04-11,49.805000,49.805000,49.805000,49.805000,49.805000,153599
2018-04-12,49.805000,66.738602,49.805000,66.738602,66.738602,72266793
2018-04-13,70.723099,76.699600,50.801102,51.797199,51.797199,166286940
2018-04-16,51.797199,51.797199,51.797199,51.797199,51.797199,0
2018-04-17,51.797199,51.797199,51.797199,51.797199,51.797199,0
2018-04-18,59.765999,60.762100,52.793301,55.781601,55.781601,69284761
2018-04-19,55.781601,55.781601,55.781601,55.781601,55.781601,0
2018-04-20,55.781601,55.781601,55.781601,55.781601,55.781601,0
2018-04-23,60.762100,60.762100,56.777699,59.765999,59.765999,18122089
2018-04-24,65.742599,65.742599,58.769901,59.765999,59.765999,31029437
2018-04-25,59.765999,59.765999,59.765999,59.765999,59.765999,0
2018-04-26,59.765999,59.765999,59.765999,59.765999,59.765999,0
2018-04-27,59.765999,59.765999,59.765999,59.765999,59.765999,0
2018-04-30,57.773800,60.762100,57.773800,57.773800,57.773800,8711381
2018-05-01,57.773800,57.773800,57.773800,57.773800,57.773800,0
2018-05-02,58.769901,59.765999,57.773800,59.765999,59.765999,4181611
2018-05-03,59.765999,63.750401,57.773800,59.765999,59.765999,19878139
2018-05-04,59.765999,62.754200,57.773800,58.769901,58.769901,16620733
2018-05-07,60.762100,60.762100,57.773800,58.769901,58.769901,3937961
2018-05-08,58.769901,59.765999,56.777699,56.777699,56.777699,2764383
2018-05-09,55.781601,58.769901,55.781601,57.773800,57.773800,1247366
2018-05-10,57.773800,57.773800,57.773800,57.773800,57.773800,0
2018-05-11,57.773800,73.711304,56.777699,69.726997,69.726997,73936908
2018-05-14,67.734703,69.726997,62.754200,65.742599,65.742599,23375582
2018-05-15,64.746498,87.656700,64.746498,82.676201,82.676201,232964531
2018-05-16,82.676201,103.594002,79.687897,97.617699,97.617699,272802929
2018-05-17,97.617699,119.531998,96.621597,106.583000,106.583000,266027098
2018-05-18,106.583000,119.531998,106.583000,108.574997,108.574997,155040972
2018-05-21,110.567001,115.547997,108.574997,109.570999,109.570999,56976751
2018-05-22,110.567001,137.462006,109.570999,131.485001,131.485001,335198015
2018-05-23,132.481003,138.457993,109.570999,111.563004,111.563004,259219143
2018-05-24,111.563004,122.519997,99.609901,109.570999,109.570999,191325508
2018-05-25,110.567001,115.547997,93.633301,96.621597,96.621597,144589504
2018-05-28,100.606003,100.606003,89.648903,92.637199,92.637199,119079496
2018-05-29,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-05-30,91.641098,105.586998,88.652802,100.606003,100.606003,203970734
2018-05-31,101.601997,104.589996,96.621597,98.613800,98.613800,97107891
2018-06-01,98.613800,98.613800,98.613800,98.613800,98.613800,0
2018-06-04,98.613800,99.609901,93.633301,94.629402,94.629402,33600868
2018-06-05,95.625504,97.617699,90.644997,91.641098,91.641098,57373297
2018-06-06,92.637199,97.617699,91.641098,94.629402,94.629402,53529102
2018-06-07,95.625504,98.613800,93.633301,95.625504,95.625504,48691432
2018-06-08,98.613800,98.613800,92.637199,92.637199,92.637199,18729458
2018-06-11,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-12,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-13,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-14,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-15,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-18,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-19,92.637199,92.637199,92.637199,92.637199,92.637199,0
2018-06-20,92.637199,94.629402,89.648903,90.644997,90.644997,11853537
2018-06-21,90.644997,94.629402,88.652802,91.641098,91.641098,17943995
2018-06-22,92.637199,93.633301,86.660599,86.660599,86.660599,19278199
2018-06-25,86.660599,88.652802,75.703499,77.695702,77.695702,70444183
2018-06-26,78.691803,78.691803,70.723099,76.699600,76.699600,24112456
2018-06-27,78.691803,94.629402,78.691803,80.683998,80.683998,114559465
2018-06-28,80.683998,81.680099,72.715202,74.707497,74.707497,29902742
2018-06-29,73.711304,76.699600,70.723099,75.703499,75.703499,20199693
2018-07-02,75.703499,77.695702,71.719101,71.719101,71.719101,13086748
2018-07-03,71.719101,81.680099,68.730904,77.695702,77.695702,34958664
2018-07-04,79.687897,84.668404,73.711304,78.691803,78.691803,36723147
2018-07-05,78.691803,84.668404,76.699600,81.680099,81.680099,25036962
2018-07-06,82.676201,84.668404,79.687897,84.668404,84.668404,20068582
2018-07-09,85.664497,104.589996,84.668404,99.609901,99.609901,159825535
2018-07-10,100.606003,108.574997,96.621597,102.598000,102.598000,138056721
2018-07-11,101.601997,108.574997,96.621597,104.589996,104.589996,121882530
2018-07-12,104.589996,112.558998,102.598000,105.586998,105.586998,66665042
2018-07-13,105.586998,106.583000,97.617699,98.613800,98.613800,41097510
2018-07-16,98.613800,99.609901,91.641098,92.637199,92.637199,33770630
2018-07-17,92.637199,98.613800,90.644997,94.629402,94.629402,27366047
2018-07-18,94.629402,102.598000,94.629402,96.621597,96.621597,56381730
2018-07-19,98.613800,99.609901,91.641098,93.633301,93.633301,29433110
2018-07-20,94.629402,95.625504,92.637199,93.633301,93.633301,10543025
2018-07-23,94.629402,97.617699,92.637199,95.625504,95.625504,29344364
2018-07-24,96.621597,99.609901,95.625504,97.617699,97.617699,24924624
2018-07-25,98.613800,115.547997,96.621597,114.551003,114.551003,160161245
2018-07-26,115.547997,135.468994,109.570999,110.567001,110.567001,387454955
2018-07-27,110.567001,121.524002,108.574997,119.531998,119.531998,99506548
2018-07-30,121.524002,137.462006,119.531998,137.462006,137.462006,331891819
2018-07-31,139.453995,182.285995,136.466003,162.363998,162.363998,673030908
2018-08-01,165.352005,177.306000,158.380005,161.367996,161.367996,228822072
2018-08-02,162.363998,170.332993,154.395004,158.380005,158.380005,136210921
2018-08-03,154.395004,158.380005,125.509003,127.500999,127.500999,253036526
2018-08-06,127.500999,145.429993,125.509003,142.442001,142.442001,218166507
2018-08-07,144.434006,151.406998,136.466003,139.453995,139.453995,155161342
2018-08-08,140.449997,147.423004,135.468994,138.457993,138.457993,124526142
2018-08-09,138.457993,139.453995,132.481003,133.477005,133.477005,53665434
2018-08-10,134.473007,137.462006,129.492996,130.488998,130.488998,39773345
2018-08-13,130.488998,130.488998,111.563004,115.547997,115.547997,132114844
2018-08-14,114.551003,119.531998,110.567001,113.555000,113.555000,76403228
2018-08-15,114.551003,116.543999,103.594002,113.555000,113.555000,45513636
2018-08-16,113.555000,127.500999,109.570999,114.551003,114.551003,127326064
2018-08-17,114.551003,114.551003,114.551003,114.551003,114.551003,0
2018-08-20,113.555000,121.524002,112.558998,115.547997,115.547997,78132774
2018-08-21,117.540001,119.531998,110.567001,112.558998,112.558998,69587843
2018-08-22,112.558998,112.558998,112.558998,112.558998,112.558998,0
